survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	1972	1972	147.363	-730.604	31.236	point		1971,1973	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1973	1973	144.666	-729.129	31.445	point		1972,1974	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1974	1974	142.855	-728.159	31.447	point		1973,1975	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1975	1975	140.187	-726.734	31.947	point		1974,1976	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1976	1976	138.366	-725.783	32.220	point		1975,1977	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1977	1977	135.687	-724.878	32.403	point		1976,1978	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1978	1978	133.689	-724.430	32.362	point		1977,1979	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1979	1979	130.663	-723.835	32.332	point		1978,1980	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1980	1980	128.788	-723.344	32.238	point		1979,1981	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1981	1981	125.838	-722.388	32.091	point		1980,1982	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1982	1982	123.933	-721.737	31.996	point		1981,1983	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1983	1983	120.856	-720.675	32.000	point		1982,1984	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1984	1984	118.905	-720.000	32.000	point		1983,1985	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1985	1985	115.992	-718.985	31.999	point		1984,1986	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1986	1986	114.096	-718.176	32.094	point		1985,1987	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1987	1987	111.357	-716.731	32.231	point		1986,1988	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1988	1988	109.501	-715.623	32.163	point		1987,1989	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1989	1989	108.163	-714.587	31.899	point		1988,1990	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1990	1990	105.923	-712.479	31.371	point		1989,1991	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1991	1991	104.495	-711.062	30.899	point		1990,1992	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1992	1992	102.335	-708.890	30.274	point		1991,1993	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1993	1993	100.901	-707.441	29.932	point		1992,1994	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1994	1994	98.470	-704.984	29.045	point		1993,1995	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1995	1995	96.859	-703.356	28.954	point		1994,1996	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1996	1996	95.410	-701.887	29.100	point		1995,1997	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1997	1997	93.503	-699.456	29.125	point		1996,1998	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1998	1998	92.616	-697.593	29.101	point		1997,1999	live-route-recording-20260712-170700-z102	proven
